Term1,Id wiki,Term2,Id wiki,,term1 es,id wiki es,term2 es,id wiki es,Term 1 eu,,Term 2 eu,,Mean
production,-1,crew,6801,,produccion,-1,"Tripulación, equipo",639914,not found,,,,6.25
television,29831,film,21555729,,Televisión,5693,Película,26900,Telebista,,,,7.72
lover,2024408,quarrel,-1,,amante,3795461,discutir,-1,not found,,,,6.19
viewer,-1,serial,-1,,espectador,-1,serie,-1,not found,,,,2.97
possibility,-1,girl,1723133,,posibilidad,-1,chica,-1,not found,,,,1.94
population,22949,development,8449,,Población,7839,Biología del desarrollo,3746121,Biztanleria,,,,3.75
morality,43254,importance,-1,,Moral,25390,not found,-1,Moral,,,,3.31
morality,43254,marriage,19728,,Moral,25390,Matrimonio,1936,Moral,,,,3.69
Mexico,3966054,Brazil,3383,,México,1830,Brasil,410,Mexiko,,,,7.44
gender,38076,equality,177845,,Género (ciencias sociales),1565439,not found,-1,not found,,,,6.41
change,-1,attitude,363996,,cambio,-1,Actitud,307909,not found,,,,5.44
family,10401954,planning,-1,,Familia,134999,not found,-1,Familia,,,,6.25
opera,22348,industry,14543,,Ópera,26911,Industria,11481,Opera,,,,2.63
sugar,27712,approach,-1,,Azúcar,4696,not found,-1,Azukre,,,,0.88
practice,77298,institution,294833,,practicar,-1,Institución,327876,not found,,,,3.19
ministry,859401,culture,19159508,,Ministerio,72704,Cultura,758,not found,,,,4.69
problem,608760,challenge,4129813,,problema,-1,Reto,2781222,not found,,,,6.75
size,264558,prominence,-1,,Tamaño,472364,not found,-1,not found,,,,5.31
country,5165,citizen,6784,,País,2384,Ciudadano,40765,Herrialde,,,,7.31
planet,22915,people,3488351,,Planeta,2141,Pueblo,560006,Planeta,,,,5.75
development,148131,issue,-1,,Desarrollo económico,298345,inconveniente,-1,not found,,,,3.97
experience,297724,music,18839,,Experiencia,169694,Música,1770,not found,,,,3.47
music,18839,project,-1,,Música,1770,proyecto,-1,Musika,,,,3.63
glass,12581,metal,19042,,Vidrio,26553,Metal,4058,Beira,,,,5.56
aluminum,904,metal,19042,,Aluminio,11568,Metal,4058,Aluminio,,,,7.83
chance,-1,credibility,651358,,posibilidad,-1,Credibilidad,1278595,not found,,,,3.88
exhibit,1131934,memorabilia,937531,,Exhibición de arte,1717311,Souvenir,485331,not found,,,,5.31
concert,236918,virtuoso,201480,,Concierto,317196,Virtuosismo,1251937,not found,,,,6.81
rock,25423,jazz,15613,,Rock,788831,Jazz,4508805,Rock,,,,7.59
museum,37585,theater,20913771,,Museo,4298766,Teatro,2780,Museo,,,,7.19
observation,22649,architecture,21296224,,Observación,445945,Arquitectura,24,not found,,,,4.38
space,27667,world,38714,,Espacio (física),4073767,Mundo,17666,Espazio,,,,6.53
preservation,5196417,world,9228,,Conservar (ej.medio ambiente),-1,Tierra,2730,not found,,,,6.19
admission,20864904,ticket,9958345,,admision (algun sitio),-1,Billete,148269,not found,,,,7.69
shower,-1,thunderstorm,70807,,ducha,-1,Tormenta eléctrica,662582,not found,,,,6.31
shower,-1,flood,50482,,ducha,-1,Inundación,47283,not found,,,,6.03
weather,33978,forecast,73231,,Tiempo atmosférico,14861,Pronóstico del tiempo,644992,Eguraldi,,,,8.34
disaster,8137,area,1209,,Desastre,160228,Área,258072,not found,,,,6.25
governor,56231,office,-1,,Gobernador,80941,oficina,-1,Gobernadore,,,,6.34
architecture,21296224,century,5881,,Arquitectura,24,Siglo,21412,Arkitektura,,,,3.78
